item_code,panel,generation_framework,generation_query_type,n_words,prompt_text
item_0023,mat,stratified,travel+music,61,"I'm looking for headphones as a gift for someone in my family who travels constantly for work. They're always on planes or sitting in airports, and they listen to podcasts all day. I need something that won't hurt their ears during long flights, has good noise isolation, and won't fall apart after a few months. What should I be looking for?"
item_0127,mat,stratified,travel+music,50,"My relative is always traveling—flights, road trips, the whole thing. They're obsessed with audiobooks and music but their current headphones keep breaking. I want to get them something durable that'll actually last, with decent sound quality. They don't need anything fancy, just reliable. Any suggestions for what's actually worth buying?"
item_0159,mat,stratified,travel+music,56,"Struggling to find the right headphones for my family member who commutes constantly and travels for their job. They listen to podcasts during their commute and on flights. I want something comfortable enough to wear for hours, with good battery life if I go that route. Budget is flexible but I don't want to overspend. Thoughts?"
item_0206,mat,stratified,travel+music,49,"Looking for headphones that would be perfect for someone who travels frequently. They're always going through airports or driving long distances, and they exclusively listen to music and audiobooks. Need something portable, reliable, and comfortable for extended periods. What are the best options that will actually justify the investment?"
item_0056,mat,stratified,travel+music,49,"My family member travels so much they basically live on airplanes. They listen to music and podcasts constantly. I want to get them headphones for their birthday but I'm not sure what features matter most. Should I prioritize comfort, sound quality, or durability? What do experienced travelers actually want?"
item_0016,mat,stratified,travel+music,54,"I need headphones as a gift for someone who's always commuting or on flights for work. They go through music, podcasts, everything. The main thing is they need to be comfortable for really long listening sessions and able to handle getting tossed in a carry-on. What should I avoid? What works best in practice?"
item_0076,mat,stratified,travel+music,29,I need headphones for my family member who travels constantly. They listen to podcasts during flights and I want something that won't hurt their ears after hours of use.
item_0201,mat,stratified,travel+music,19,What's a good option for someone commuting between cities and listening to music? They want comfort above all else.
item_0163,mat,stratified,travel+music,18,Looking for headphones suitable for long flights. The person I'm buying for loves audiobooks and needs something durable.
item_0014,mat,stratified,travel+music,22,My relative travels for work and spends a lot of time listening to podcasts. What would be most comfortable for extended wear?
item_0066,mat,stratified,travel+music,19,Need recommendations for travel headphones. Gift recipient takes frequent trips and listens to music constantly while away from home.
item_0255,mat,stratified,travel+music,21,"Someone who travels frequently asked me to help find headphones. They listen to everything—music, podcasts, news—during layovers and flights. Something versatile?"
item_0072,mat,stratified,travel+music,21,Best headphones for airport lounges? I'm shopping for someone who travels weekly and wants to listen to audiobooks without background noise.
item_0065,mat,stratified,travel+music,19,Looking to buy headphones for a person who commutes internationally. They care about sound quality for music and podcasts.
item_0249,mat,stratified,travel+music,19,Travel headphones recommendations? Buying for someone who listens to music on planes and during car trips to the airport.
item_0033,mat,stratified,travel+music,23,I need headphones that work well during flights and train trips. The person I'm gifting to loves listening to podcasts and wants portability.
item_0213,mat,stratified,travel+music,23,What should I get for someone who travels a lot and listens to music on the go? They want something practical and comfortable.
